desconto_pct,mean_quantity,mean_revenue,mean_profit
0.0,13864.18631689184,579665.492469484,440242.8292363873
0.001,13794.817094678741,576304.8721722652,437574.3194445478
0.002,13553.09580038958,565066.2904217871,428843.0717035975
0.003,13694.674566352576,571566.5070438605,433937.43072985875
0.004,13894.777902016467,579546.4865179905,439869.8625455196
0.005,14157.588099356017,590990.2593405644,448579.9767549735
0.006,14156.194237670888,590340.0527472721,447940.046160836
0.007,14157.99924885761,589877.4455592183,447460.8531232465
0.008,14152.719874292314,589020.6755293214,446644.8532105356
0.009000000000000001,14072.229749696493,585003.3880263881,443424.8306723768
0.01,14066.923984146373,584174.3082574393,442654.85542681155
0.011,14185.093191342385,589873.8725872281,447150.2122011315
0.012,14211.769638644286,590410.7216511535,447408.17113789864
0.013000000000000001,14233.692560154706,590776.0204589855,447553.4811476442
0.014,14302.95448172805,592934.8905564339,448988.1772573946
0.015,14330.69645161499,593204.8168301479,448990.7640318682
0.016,14335.702351237886,592871.0139633346,448607.74840836006
0.017,14251.382965909628,587853.879634023,444433.6368263967
0.018000000000000002,14174.983550879613,583543.6619409353,440731.0958985456
0.019,14894.628484756046,614848.3161854787,464947.0041685021
0.02,14791.500808392468,610203.815073649,461310.31600004854
0.021,14768.196736362674,608362.188900531,459710.0941467003
0.022,14808.990447227532,609382.9547259873,460318.0051273192
0.023,14803.710046834338,608546.3457891376,459555.5184046868
0.024,14800.283106937433,607768.0663700259,458801.7307043904
0.025,14799.908726643025,607142.6141226985,458194.392176902
0.026000000000000002,14794.450615539889,606269.8707729793,457374.8972951167
0.027,14983.664172722461,613837.0380641819,463138.18120925454
0.028,14895.878930274304,609689.4386062835,459781.09645655105
0.029,14895.836982038474,609065.8364089184,459157.14001399855
0.03,14915.584312081988,609086.8875937059,458979.47781691054
0.031,15000.718444458978,611448.3083465403,460486.0795808037
0.032,14858.554129421667,605297.5658471509,455820.8024198032
0.033,14783.302732256918,601585.0821899617,452856.9800845136
0.034,14797.298304522217,601070.5533607717,452180.8340547307
0.035,15394.692587263298,626011.5579751526,471188.85052949627
0.036000000000000004,15513.60970338131,631703.0423401402,475453.21545436204
0.037,15655.559610935381,638517.201062972,480679.1605535092
0.038,15552.459351353707,633908.4354679547,476849.553049869
0.039,15560.906353516202,633511.0075288153,476354.17732726457
0.04,16127.431111040929,655342.6060087037,492439.50244115095
